Country,Year,Week,Start date,End date,TempMax,TempMIN,PRCP_mm,GoogleTrendsFever,GoogleTrendsFatigue,GoogleTrendsVomit,GoogleTrendsVaccine,TotalFluSympPatients,TotalFluPositiveVirusPatients
Germany,2014,49,12/1/2014,12/7/2014,2,-1,0.5,36,35,16,13,109,3
Germany,2014,50,12/8/2014,12/14/2014,6,1,1.61,40,43,15,12,116,5
Germany,2014,51,12/15/2014,12/21/2014,8,3,3.04,42,46,22,3,105,16
Germany,2014,52,12/22/2014,12/28/2014,5,0,2.89,40,45,16,7,50,19
Germany,2015,1,12/29/2014,1/4/2015,1,-4,0.58,34,44,15,8,47,13
Germany,2015,2,1/5/2015,1/11/2015,6,2,0.88,39,42,16,10,115,55
Germany,2015,3,1/12/2015,1/18/2015,6,1,5.5,45,56,15,9,134,85
Germany,2015,4,1/19/2015,1/25/2015,8,2,1.89,55,42,16,14,188,127
Germany,2015,5,1/26/2015,2/1/2015,1,-1,0.32,61,41,14,26,240,153
Germany,2015,6,2/2/2015,2/8/2015,4,0,3.04,71,42,17,14,250,164
Germany,2015,7,2/9/2015,2/15/2015,1,-3,1.11,78,43,19,13,285,204
Germany,2015,8,2/16/2015,2/22/2015,6,-1,0.14,63,47,18,22,281,203
Germany,2015,9,2/23/2015,3/1/2015,7,-1,0.07,52,42,19,15,270,204
Germany,2015,10,3/2/2015,3/8/2015,8,-1,1,50,38,18,11,258,156
Germany,2015,11,3/9/2015,3/15/2015,9,1,1.25,42,45,15,10,201,118
Germany,2015,12,3/16/2015,3/22/2015,9,1,0.11,38,49,14,11,146,76
Germany,2015,13,3/23/2015,3/29/2015,11,0,0.68,34,42,18,7,136,66
Germany,2015,14,3/30/2015,4/5/2015,12,3,1.18,33,46,19,14,55,31
Germany,2015,15,4/6/2015,4/12/2015,10,0,2.43,33,45,16,13,44,21
Germany,2015,16,4/13/2015,4/19/2015,15,3,0.18,30,42,20,12,35,12
Germany,2015,17,4/20/2015,4/26/2015,15,3,0,28,45,15,14,31,6
