,Year,Week,TempMax,TempMIN,PRCP_mm,GoogleTrendsFever,GoogleTrendsVomit,GoogleTrendsVaccine,TotalFluSympPatients,TotalFluPositiveVirusPatients,GoogleTrendsFatigue
0,2014,49,2,-1,0.5,36,16,13,109.0,3.0,35.0
1,2014,50,6,1,1.61,40,15,12,116.0,5.0,43.0
2,2014,51,8,3,3.04,42,22,3,105.0,16.0,46.0
3,2014,52,5,0,2.89,40,16,7,50.0,19.0,45.0
4,2015,1,1,-4,0.58,34,15,8,47.0,13.0,44.0
5,2015,2,6,2,0.88,39,16,10,115.0,55.0,42.0
6,2015,3,6,1,5.5,45,15,9,134.0,85.0,56.0
7,2015,4,8,2,1.89,55,16,14,188.0,127.0,42.0
8,2015,5,1,-1,0.32,61,14,26,240.0,153.0,41.0
9,2015,6,4,0,3.04,71,17,14,250.0,164.0,42.0
10,2015,7,1,-3,1.11,78,19,13,285.0,204.0,43.0
11,2015,8,6,-1,0.14,63,18,22,281.0,203.0,47.0
12,2015,9,7,-1,0.07,52,19,15,270.0,204.0,42.0
13,2015,10,8,-1,1.0,50,18,11,258.0,156.0,38.0
14,2015,11,9,1,1.25,42,15,10,201.0,118.0,45.0
15,2015,12,9,1,0.11,38,14,11,146.0,76.0,49.0
16,2015,13,11,0,0.68,34,18,7,136.0,66.0,42.0
17,2015,14,12,3,1.18,33,19,14,55.0,31.0,46.0
18,2015,15,10,0,2.43,33,16,13,44.0,21.0,45.0
19,2015,16,15,3,0.18,30,20,12,35.0,12.0,42.0
20,2015,17,15,3,0.0,28,15,14,31.0,6.0,45.0
21,2015,18,20,4,0.64,31,13,12,32.0,10.0,39.0
22,2015,19,15,3,2.32,29,14,13,21.0,2.0,42.0
23,2015,20,20,8,0.29,27,18,17,9.0,1.0,40.0
24,2015,21,18,5,1.29,30,19,9,10.0,0.0,36.0
25,2015,22,20,5,0.04,30,19,12,9.0,0.0,43.0
26,2015,23,19,6,0.5,29,14,11,14.0,0.0,48.0
27,2015,24,25,10,0.46,28,17,11,12.0,2.0,44.0
28,2015,25,24,10,1.25,29,15,10,14.0,0.0,41.0
29,2015,26,19,8,2.39,32,17,8,14.0,1.0,45.0
30,2015,27,20,12,3.54,31,17,16,16.0,2.0,48.0
31,2015,28,31,16,1.04,32,19,12,7.0,0.0,44.0
32,2015,29,24,11,1.61,31,11,9,11.0,0.0,45.0
33,2015,30,24,14,5.32,28,17,19,17.0,0.0,44.0
34,2015,31,26,13,3.5,29,13,14,12.0,2.0,43.0
35,2015,32,23,11,0.32,31,17,14,6.0,0.0,52.0
36,2015,33,32,16,0.14,28,19,11,8.0,0.0,38.0
37,2015,34,32,18,1.32,26,17,12,8.0,1.0,47.0
38,2015,35,26,13,0.36,28,20,12,15.0,0.0,50.0
39,2015,36,26,12,3.0,28,20,12,10.0,3.0,43.0
40,2015,37,23,12,2.07,32,16,16,22.0,0.0,48.0
41,2015,38,20,9,0.46,33,21,15,28.0,0.0,45.0
42,2015,39,21,10,1.32,32,13,13,38.0,2.0,54.0
43,2015,40,18,7,0.21,34,17,13,44.0,1.0,49.0
44,2015,41,18,3,0.0,31,17,12,59.0,2.0,46.0
45,2015,42,13,5,4.0,30,15,11,66.0,1.0,44.0
46,2015,43,8,4,6.29,31,20,10,57.0,0.0,47.0
47,2015,44,12,6,0.96,31,16,11,62.0,1.0,44.0
48,2015,45,12,3,0.0,31,21,17,76.0,2.0,38.0
49,2015,46,13,3,0.61,32,18,12,79.0,6.0,47.0
50,2015,47,14,8,4.57,30,20,19,89.0,5.0,62.0
51,2015,48,10,6,2.75,32,16,18,96.0,1.0,49.0
52,2015,49,5,-1,2.04,35,15,10,93.0,5.0,53.0
53,2015,50,9,4,1.89,38,16,10,93.0,7.0,59.0
54,2015,51,9,3,3.14,38,19,10,90.0,7.0,47.0
55,2015,52,9,5,0.61,39,17,6,49.0,7.0,51.0
56,2015,53,12,7,0.86,35,15,10,24.0,5.0,50.0
57,2016,1,5,0,0.44,38,15,13,85.0,11.0,53.0
58,2016,2,-1,-6,0.0,45,14,11,118.0,26.0,55.0
59,2016,3,-2,-7,2.25,51,15,10,142.0,43.0,48.0
63,2016,7,9,3,1.46,59,14,10,221.0,101.0,47.0
64,2016,8,7,2,1.14,64,13,14,254.0,145.0,47.0
65,2016,9,6,0,2.75,69,11,10,278.0,156.0,47.0
66,2016,10,7,-1,1.04,73,17,12,286.0,157.0,46.0
67,2016,11,7,-1,1.04,71,15,8,244.0,135.0,46.0
68,2016,12,6,-1,0.04,56,17,10,169.0,124.0,47.0
69,2016,13,8,0,0.39,43,16,13,133.0,82.0,48.0
70,2016,14,10,3,1.0,37,17,11,133.0,66.0,47.0
71,2016,15,14,3,1.64,38,12,16,85.0,35.0,48.0
72,2016,16,16,5,0.07,33,17,9,64.0,11.0,48.0
73,2016,17,14,4,3.0,37,11,16,52.0,8.0,48.0
74,2016,18,13,3,0.11,34,15,13,36.0,9.0,49.0
75,2016,19,13,2,1.32,32,18,12,24.0,5.0,47.0
76,2016,20,21,7,0.04,31,15,12,27.0,2.0,48.0
77,2016,21,22,9,0.43,34,15,10,15.0,0.0,48.0
78,2016,22,21,10,0.11,33,15,11,16.0,0.0,49.0
79,2016,23,22,12,1.75,33,14,9,14.0,0.0,48.0
80,2016,24,27,15,1.96,35,12,12,16.0,1.0,48.0
81,2016,25,24,10,0.36,34,16,15,10.0,0.0,48.0
82,2016,26,21,12,6.71,36,17,10,15.0,1.0,49.0
83,2016,27,28,15,4.18,34,12,11,14.0,0.0,48.0
84,2016,28,25,12,0.39,36,11,11,19.0,0.0,49.0
85,2016,29,24,13,0.82,37,11,9,19.0,1.0,48.0
86,2016,30,23,14,1.46,32,18,12,7.0,0.0,47.0
87,2016,31,27,15,0.0,30,13,10,5.0,0.0,48.0
88,2016,32,27,15,11.18,31,14,10,12.0,0.0,49.0
89,2016,33,22,13,2.29,31,17,12,18.0,0.0,48.0
90,2016,34,22,12,0.18,33,17,10,13.0,1.0,49.0
91,2016,35,23,10,2.75,32,11,12,18.0,0.0,50.0
92,2016,36,29,15,0.29,34,17,13,16.0,1.0,50.0
93,2016,37,24,12,2.43,32,14,13,16.0,1.0,50.0
94,2016,38,26,13,0.14,33,15,8,24.0,0.0,49.0
95,2016,39,26,14,0.79,36,20,10,15.0,0.0,48.0
96,2016,40,20,7,0.0,32,17,10,44.0,0.0,49.0
97,2016,41,20,9,1.36,34,16,11,75.0,0.0,49.0
98,2016,42,13,6,1.96,33,18,17,87.0,0.0,49.0
99,2016,43,10,6,1.07,36,17,9,88.0,2.0,49.0
100,2016,44,10,6,1.21,34,15,9,78.0,0.0,49.0
101,2016,45,11,4,0.64,37,17,13,115.0,2.0,48.0
102,2016,46,9,3,2.68,37,11,12,138.0,7.0,49.0
103,2016,47,4,-2,0.14,37,18,10,139.0,11.0,48.0
104,2016,48,9,3,2.29,41,15,9,139.0,2.0,49.0
105,2016,49,8,2,0.0,45,17,9,172.0,16.0,49.0
106,2016,50,4,-2,0.86,49,19,7,172.0,23.0,48.0
107,2016,51,6,3,3.46,55,21,6,156.0,46.0,47.0
108,2016,52,4,-2,0.36,46,18,9,118.0,42.0,48.0
109,2017,1,5,0,1.96,49,15,17,187.0,57.0,49.0
110,2017,2,6,1,0.67,57,15,10,233.0,88.0,49.0
111,2017,3,4,1,0.5,68,16,14,299.0,151.0,48.0
112,2017,4,0,-5,2.11,72,12,12,347.0,182.0,48.0
113,2017,5,2,-3,1.86,68,20,12,360.0,201.0,46.0
114,2017,6,1,-4,0.0,60,13,14,381.0,203.0,48.0
115,2017,7,2,-3,0.0,53,14,10,353.0,183.0,48.0
116,2017,8,1,-2,1.54,47,16,12,297.0,121.0,47.0
117,2017,9,-1,-5,0.0,42,13,12,207.0,64.0,49.0
118,2017,10,7,-2,0.68,39,13,11,192.0,42.0,47.0
119,2017,11,9,3,3.04,39,12,11,150.0,27.0,48.0
120,2017,12,11,4,1.14,37,14,13,113.0,16.0,48.0
121,2017,13,9,2,2.29,35,16,12,84.0,6.0,48.0
122,2017,14,11,1,2.68,34,17,11,90.0,16.0,48.0
123,2017,15,12,3,0.93,32,17,12,48.0,3.0,47.0
124,2017,16,19,6,0.14,33,19,14,31.0,2.0,47.0
125,2017,17,14,6,0.11,35,13,17,56.0,2.0,49.0
